Unit,ActiveBaseline_modulation_direction,PTP_class
SUBJ-ID-390_220621_concat_cluster5764,decrease,broad
SUBJ-ID-390_220621_concat_cluster6128,decrease,broad
SUBJ-ID-390_220621_concat_cluster6129,increase,broad
SUBJ-ID-390_220621_concat_cluster6640,increase,broad
SUBJ-ID-390_220621_concat_cluster6645,decrease,broad
SUBJ-ID-390_220621_concat_cluster6646,increase,broad
SUBJ-ID-390_220621_concat_cluster6784,increase,broad
SUBJ-ID-390_220621_concat_cluster6788,decrease,broad
SUBJ-ID-390_220623_concat_cluster2867,decrease,narrow
SUBJ-ID-390_220623_concat_cluster3889,none,broad
SUBJ-ID-390_220623_concat_cluster3928,decrease,broad
SUBJ-ID-390_220623_concat_cluster4009,decrease,broad
SUBJ-ID-390_220623_concat_cluster4287,decrease,broad
SUBJ-ID-390_220623_concat_cluster4301,increase,broad
SUBJ-ID-390_220623_concat_cluster4792,decrease,broad
SUBJ-ID-390_220624_concat_cluster2459,increase,broad
